weekday,day,month,year,time,aircraft_type,num_of_engines,engine_type,engine_model,years_active,airframe_hrs,operator,occupants,accident_loc,above_ocean,flight_phase,damage,accident_latitude,accident_longtitude,fatalities
2,22.0,2,1943,13.56666667,52,4.0,1,118,4.0,8505.0,1574,39.0,142,0,7.0,4.0,38.735,-9.062,24.0
7,27.0,3,1943,5.2,137,2.0,1,80,1.0,273.0,1726,23.0,10,0,4.0,4.0,-27.586775,153.0055,23.0
4,7.0,4,1943,13.56666667,137,2.0,1,80,1.0,1187.0,667,3.0,82,0,5.0,3.0,27.775889,96.941917,1.0
7,3.0,7,1943,17.25,168,4.0,1,78,8.0,9496.0,1722,20.0,187,0,5.0,3.0,55.8682,-5.4075,20.0
7,10.0,7,1943,13.56666667,137,2.0,1,80,0.0,0.0,2208,19.0,188,0,6.0,3.0,38.730306,-93.547864,6.0
4,28.0,7,1943,22.71666667,137,2.0,1,117,7.0,17991.0,382,22.0,188,0,5.0,3.0,36.783749,-86.371724,20.0
1,8.0,8,1943,19.96666667,124,2.0,1,83,0.0,0.0,2208,5.0,188,0,5.0,4.0,25.48855,-80.383567,4.0
7,23.0,10,1943,13.56666667,124,2.0,1,83,0.0,0.0,2208,4.0,120,0,5.0,3.0,26.2833,97.4,4.0
6,17.0,12,1943,13.56666667,137,2.0,1,80,0.0,0.0,2208,9.0,95,0,8.0,3.0,-4.4447,-171.253,9.0
6,17.0,12,1943,7.0,137,2.0,1,80,0.0,0.0,2208,5.0,87,0,5.0,3.0,51.998151,-9.695516,5.0
1,2.0,1,1944,21.4,137,2.0,1,117,2.0,2374.0,2208,5.0,188,0,4.0,3.0,33.939975,-118.366561,2.0
3,18.0,1,1944,6.216666667,137,2.0,1,80,1.0,1187.0,2208,8.0,188,0,5.0,3.0,37.780411,-122.214733,8.0
7,22.0,1,1944,13.56666667,137,2.0,1,80,1.0,1187.0,2208,4.0,188,0,2.0,3.0,37.555,-77.403,1.0
2,31.0,1,1944,13.56666667,124,2.0,1,83,1.0,1187.0,2208,4.0,82,0,5.0,3.0,28.199,96.86,4.0
2,31.0,1,1944,0.533333333,136,2.0,1,117,5.0,5935.0,2208,3.0,188,0,5.0,3.0,42.31,-96.482,3.0
4,2.0,2,1944,13.56666667,137,2.0,1,80,1.0,1187.0,2208,22.0,137,0,5.0,5.0,10.05,150.21,22.0
6,24.0,3,1944,13.56666667,124,2.0,1,83,1.0,1187.0,2208,4.0,82,0,5.0,3.0,27.168,93.537,4.0
1,11.0,6,1944,13.56666667,137,2.0,1,80,0.0,0.0,2208,6.0,120,0,5.0,3.0,25.32,96.36,5.0
5,15.0,6,1944,13.56666667,137,2.0,1,80,0.0,0.0,2208,7.0,120,0,5.0,3.0,25.5166,96.833,7.0
5,27.0,7,1944,16.0,137,2.0,1,80,0.0,0.0,2208,22.0,187,0,5.0,3.0,54.726303,-4.956847,22.0
7,12.0,8,1944,12.93333333,137,2.0,1,80,0.0,0.0,2208,27.0,188,0,3.0,3.0,35.042417,-89.976667,1.0
5,7.0,9,1944,13.56666667,137,2.0,1,80,0.0,0.0,1349,20.0,10,0,5.0,3.0,-16.4075,145.2722,20.0
6,8.0,9,1944,23.5,137,2.0,1,80,0.0,0.0,2208,4.0,187,0,7.0,3.0,50.700626,-3.3465,4.0
7,6.0,1,1945,13.56666667,137,2.0,1,80,3.0,3561.0,2208,3.0,82,0,5.0,3.0,26.3,94.28,3.0
